Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Date
Switzerland,188.36,102.77,78.38,74.08,125.02,8.18,28.67,19.86,80.05,2021-mid
Denmark,186.25,86.43,73.78,79.79,88.53,7.00,28.69,21.29,81.80,2021-mid
Netherlands,180.27,76.65,72.84,75.28,78.93,7.28,27.64,25.39,87.00,2021-mid
Finland,178.95,80.11,72.41,76.19,76.35,8.57,28.91,11.99,56.64,2021-mid
Australia,178.41,91.07,56.97,77.86,80.75,7.27,34.81,23.69,92.70,2021-mid
Iceland,177.64,67.30,76.25,65.85,99.67,6.11,19.90,15.97,68.81,2021-mid
Austria,176.36,68.69,74.46,76.98,74.87,10.91,25.67,20.42,77.15,2021-mid
Germany,175.24,89.86,64.21,73.49,67.85,8.88,31.22,27.81,82.82,2021-mid
New Zealand,173.60,74.89,57.12,73.59,76.31,7.78,30.72,23.72,96.69,2021-mid
Luxembourg,171.81,87.76,65.87,72.92,85.30,13.00,31.79,23.27,82.62,2021-mid
Norway,171.72,73.55,66.28,75.59,103.56,8.09,26.93,18.09,68.68,2021-mid
Estonia,171.16,56.58,76.29,72.68,53.77,9.37,24.44,19.72,64.28,2021-mid
Sweden,170.19,85.44,52.00,68.82,75.89,7.71,29.77,18.46,74.92,2021-mid
Oman,168.82,74.87,79.66,58.42,49.64,5.45,23.02,37.21,67.22,2021-mid
Slovenia,165.74,52.08,77.72,65.19,56.40,11.67,26.93,22.65,77.56,2021-mid
Japan,164.06,76.01,77.81,80.21,81.15,11.59,39.96,39.10,85.27,2021-mid
United States,163.60,94.32,52.19,69.11,70.55,4.04,32.87,39.26,77.49,2021-mid
Spain,163.48,58.50,66.68,78.85,56.64,9.22,29.28,39.73,93.65,2021-mid
Lithuania,160.29,52.80,66.58,70.91,46.04,10.49,25.81,26.67,69.86,2021-mid
Portugal,159.83,40.54,70.09,71.85,50.65,12.92,29.33,30.19,97.81,2021-mid
Czech Republic,157.49,54.80,74.48,75.39,48.20,13.71,29.58,36.31,77.13,2021-mid
Canada,157.25,78.34,58.11,71.69,71.45,7.24,33.69,28.54,55.29,2021-mid
United Kingdom,156.94,77.47,53.93,75.11,70.64,9.46,34.40,40.10,88.21,2021-mid
United Arab Emirates,156.94,84.93,84.77,68.22,58.94,4.49,36.23,49.93,45.23,2021-mid
Croatia,155.41,39.83,75.41,63.95,55.18,13.59,28.07,30.84,89.69,2021-mid
France,153.60,76.36,48.01,80.56,77.59,10.04,34.79,42.17,90.41,2021-mid
Qatar,151.48,84.85,87.87,73.19,61.93,6.13,30.45,60.19,36.03,2021-mid
Ireland,150.54,71.58,54.49,52.82,78.55,6.69,38.10,33.86,89.13,2021-mid
Belgium,148.18,70.12,55.42,75.37,75.79,7.01,36.82,50.09,86.03,2021-mid
Slovakia,147.09,45.65,69.63,60.19,47.32,11.08,27.91,39.50,78.13,2021-mid
Latvia,146.80,43.49,61.23,62.02,50.41,8.30,30.86,33.23,74.70,2021-mid
Singapore,146.48,78.53,72.04,71.23,82.63,17.63,41.23,33.14,57.45,2021-mid
Cyprus,146.08,49.36,68.72,54.59,61.64,6.57,23.07,55.06,93.34,2021-mid
Saudi Arabia,144.69,80.11,74.77,60.88,49.60,2.66,28.39,63.91,45.98,2021-mid
Israel,143.65,65.91,68.53,73.93,84.77,12.87,35.59,58.13,94.01,2021-mid
Taiwan,138.50,51.09,84.54,86.38,64.93,21.78,31.41,62.98,81.60,2021-mid
Italy,137.77,54.30,55.15,66.99,69.99,8.76,34.04,54.06,91.48,2021-mid
Hungary,134.54,47.41,65.64,52.85,42.26,10.64,35.87,48.12,79.48,2021-mid
South Africa,131.37,69.15,23.14,63.94,44.21,3.44,39.39,56.45,95.25,2021-mid
Romania,130.86,41.89,71.70,55.98,36.77,10.25,33.97,58.65,77.62,2021-mid
Puerto Rico,128.21,61.16,37.16,57.32,67.84,4.15,34.16,50.24,71.25,2021-mid
Greece,127.96,35.95,54.15,57.09,58.38,9.61,33.95,52.10,92.49,2021-mid
Poland,127.79,43.61,69.50,56.15,41.75,14.13,31.34,57.34,76.01,2021-mid
Bulgaria,126.88,39.49,61.79,56.28,38.67,8.30,29.43,64.54,82.76,2021-mid
South Korea,124.73,69.44,73.32,82.36,76.46,26.08,40.22,62.42,68.39,2021-mid
Turkey,124.19,31.27,60.38,70.75,31.74,8.72,44.25,65.79,93.23,2021-mid
Bosnia And Herzegovina,123.85,38.94,57.01,53.24,36.95,11.02,25.89,61.04,80.48,2021-mid
Uruguay,122.42,27.43,48.27,67.76,50.55,18.49,37.31,45.39,98.04,2021-mid
Costa Rica,120.42,34.70,45.78,62.15,48.53,10.04,60.19,44.07,99.48,2021-mid
Mexico,119.82,31.30,45.81,72.48,36.74,10.88,39.22,59.90,88.52,2021-mid
Serbia,117.00,34.16,61.90,51.96,37.62,15.89,30.77,61.66,83.23,2021-mid
Georgia,116.62,25.16,76.62,54.43,28.58,14.35,35.40,70.02,84.20,2021-mid
Ecuador,116.27,27.10,44.77,68.21,38.79,13.32,39.28,58.36,94.51,2021-mid
Malaysia,115.02,50.11,42.71,69.98,37.52,9.97,37.21,62.63,59.11,2021-mid
Kuwait,113.67,70.51,66.58,58.97,49.14,12.53,33.22,66.15,20.22,2021-mid
Jordan,112.28,27.95,60.04,65.37,50.91,7.91,41.66,76.38,89.05,2021-mid
Panama,111.13,28.91,54.85,60.74,53.03,11.36,37.07,59.36,67.84,2021-mid
North Macedonia,108.25,29.92,60.88,56.37,32.76,12.24,26.90,79.75,76.30,2021-mid
Ukraine,107.80,30.28,52.58,53.70,31.20,11.21,37.83,63.59,70.69,2021-mid
Belarus,107.15,29.87,40.42,44.79,31.58,16.24,30.25,44.79,64.37,2021-mid
Morocco,105.04,29.77,51.34,45.87,35.58,12.91,36.30,69.42,90.04,2021-mid
Brazil,104.70,25.13,32.51,57.79,36.06,15.96,41.39,54.40,95.41,2021-mid
Argentina,104.31,27.68,36.18,68.99,35.33,26.37,42.60,51.01,98.28,2021-mid
China,103.16,53.62,69.86,66.16,41.31,27.89,40.56,81.17,80.21,2021-mid
India,103.00,42.16,55.57,65.83,24.60,10.78,46.61,79.89,65.47,2021-mid
Pakistan,102.15,24.56,57.49,60.04,21.88,13.60,38.31,73.41,70.36,2021-mid
Colombia,102.02,25.34,43.13,66.92,28.12,17.48,47.33,62.89,88.30,2021-mid
Azerbaijan,101.41,23.10,67.98,44.56,30.04,17.57,40.01,74.30,91.40,2021-mid
Thailand,100.30,28.87,60.65,77.68,44.76,21.21,39.76,75.35,69.45,2021-mid
Russia,97.91,35.53,60.01,58.53,36.76,15.31,44.53,62.63,39.84,2021-mid
Chile,97.27,29.43,46.58,63.99,48.60,18.08,36.18,78.63,90.21,2021-mid
Hong Kong,96.10,56.86,78.00,66.37,80.82,45.71,42.72,67.38,83.64,2021-mid
Kazakhstan,94.25,31.62,46.23,59.62,29.58,9.49,34.79,73.17,39.78,2021-mid
Indonesia,90.15,19.01,54.07,60.52,35.95,21.52,43.28,67.15,68.48,2021-mid
Vietnam,88.90,25.29,53.81,58.61,36.94,19.75,29.59,85.54,71.09,2021-mid
Egypt,87.21,18.54,53.17,46.61,29.14,12.73,48.99,83.92,91.98,2021-mid
Peru,81.29,26.13,33.28,57.84,33.01,18.77,49.11,82.31,97.69,2021-mid
Philippines,78.12,18.00,57.54,67.19,39.11,30.20,43.65,73.69,61.03,2021-mid
Kenya,76.92,25.37,39.86,57.53,35.82,27.05,56.39,75.92,99.79,2021-mid
Sri Lanka,75.52,18.43,58.61,72.72,30.41,38.56,56.74,59.97,59.11,2021-mid
Bangladesh,64.54,21.76,36.10,42.22,33.01,14.91,57.12,84.94,72.91,2021-mid
Iran,63.60,16.82,50.62,52.33,40.64,34.87,47.25,75.70,70.99,2021-mid
Nigeria,54.71,8.79,35.94,48.52,29.63,14.02,61.97,87.70,60.75,2021-mid
